seed_base,opponent,seat,games,baseline_wins,candidate_wins,delta_wins
271958313,arch_peak,0,40,19,19,0
271958313,arch_peak,1,40,20,20,0
271958313,arch_shumpei,0,40,17,17,0
271958313,arch_shumpei,1,40,23,23,0
271958313,cynthia_v23,0,40,33,33,0
271958313,cynthia_v23,1,40,34,34,0
271958313,kang_v23,0,40,15,15,0
271958313,kang_v23,1,40,13,13,0
271958313,marnie_kazuki,0,40,33,33,0
271958313,marnie_kazuki,1,40,37,37,0
271958313,marnie_tonakai,0,40,37,37,0
271958313,marnie_tonakai,1,40,36,36,0
