version_id,role,status,raw_deck_sha256,normalized_deck_hash,policy_closure_sha256,evaluation_schedule,overall_wins,overall_games,overall_win_rate,marnie_win_rate,cynthia_win_rate,alakazam_mirror_win_rate,rocket_proxy_win_rate,kangaskhan_crustle_win_rate,historical_silver_win_rate,direct_frozen_win_rate,seat0_wins,seat0_games,seat0_win_rate,seat1_wins,seat1_games,seat1_win_rate,paired_against,paired_delta_wins,paired_delta_rate,gains,losses,discordant_pairs,exact_sign_p,first_attack_turn_mean,attack_gap_tail_rate,attack_gap_between_rate,post_ko_attack_continuity_rate,max_consecutive_attack_turns_mean,hand_size_at_attack_mean,hand_power_counter_mean,ko_threshold_miss_rate,ko_threshold_miss_status,second_alakazam_line_created_rate,added_card_play_rate,unused_added_card_rate,removed_card_rule_hit_count,removed_card_rule_hit_status,generic_fallback_rate,first_legal_fallback_rate,invalid_action_rate,exception_rate,timeout_rate,max_step_hit_rate,average_decision_time_ms,p95_decision_time_ms,h1_transaction_starts,h1_transaction_completes,decision_note
alakazam_800_frozen,IDENTITY_ANCHOR,FROZEN,A7B6C7972915D09F6314C42633AA89D82B55DDF0A7199F7138E681FA52516529,f2e179fb82cb91504ccd207d707ca5e7be8afc7228df26a7b287c6205064507c,2CB86DF243271B20045D8FDF526F9874F9880AD354B7928DF62A86E428111BD1,202608500-202608549;7opponents;2seats,382,700,0.5457142857142857,0.67,0.64,0.71,0.29,0.54,0.47,0.50,212,350,0.6057142857142857,170,350,0.4857142857142857,,,,,,,,4.499274310595065,0.13307659392383397,0.06805555555555555,0.8523489932885906,5.301428571428572,13.323297137216189,28.352439024390243,,N/A_ZERO_CERTIFIED_DENOMINATOR,0.9699248120300752,,,,UNKNOWN,,0.0,0.0,0.0,0.0,0.0,15.864018932704326,27.1969,,,Submission identity anchor; repository evidence confirms initial public score 509.6 after one game rather than a mature 800 score
alakazam_newdeck_v0_port,PORT_BASELINE,PASS_PORT_GATE,F598F5E578D0440C96DC0492EAECF2E19739B7A23225BE57114A724EF7D0FB94,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,D9ADBC03054AB1D2FFD1E1955D734DB1D14DA74C9D1088249A271F98EBCECD46,202608500-202608549;7opponents;2seats,428,700,0.6114285714285714,0.70,0.74,0.69,0.38,0.66,0.56,0.55,221,350,0.6314285714285714,207,350,0.5914285714285714,alakazam_800_frozen,46,0.0657142857142857,151,105,256,0.0048189135689923265,4.401171303074671,0.12860013395847286,0.070314374850012,0.8085351787773933,5.104285714285714,13.834998718934154,29.460591133004925,,N/A_ZERO_CERTIFIED_DENOMINATOR,0.9581464872944694,0.0,1.0,,UNKNOWN,0.004621767449859197,0.0,0.0,0.0,0.0,0.0,16.017881497882586,29.8599,,,Comparison A is an operational deck/state comparison and is not a pure deck-effect estimate
alakazam_newdeck_v1_package,PACKAGE_ADAPTATION,RETAIN_FINAL_LOCAL_CANDIDATE,F598F5E578D0440C96DC0492EAECF2E19739B7A23225BE57114A724EF7D0FB94,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,5FFA8776CA95E16C7030C55B5682DE42BA21C06964C790A3D6312B60FBAA5009,202608500-202608549;7opponents;2seats,451,700,0.6442857142857143,0.69,0.73,0.81,0.38,0.70,0.56,0.64,235,350,0.6714285714285714,216,350,0.6171428571428571,alakazam_newdeck_v0_port,23,0.0328571428571429,35,12,47,0.0010885382064742544,4.401171303074671,0.12210478974589611,0.06738868832731648,0.8103015075376885,5.1242857142857146,13.76844262295082,29.32412523020258,,N/A_ZERO_CERTIFIED_DENOMINATOR,0.953662182361734,0.06547619047619048,0.9345238095238095,0,KNOWN,0.0,0.0,0.0,0.0,0.0,0.0,13.972437596600542,25.1533,,,Best completed local candidate; Rocket proxy absolute floor remains 38 percent
alakazam_newdeck_v2_continuity,CONTINUITY_H1_EXPERIMENT,REJECT_ZERO_REACHABILITY_AND_NO_GAIN,F598F5E578D0440C96DC0492EAECF2E19739B7A23225BE57114A724EF7D0FB94,4414e8995e50c7a00d4b6aa7d9229f63c1dff5261643ec7cd86c4e329113ed69,AB4F6FD57911BAE1D5CF9FAE2013298FC1744E401E52C65855BAB127A638FD57,202608500-202608549;7opponents;2seats,451,700,0.6442857142857143,0.69,0.73,0.81,0.38,0.70,0.56,0.64,235,350,0.6714285714285714,216,350,0.6171428571428571,alakazam_newdeck_v1_package,0,0.0,0,0,0,1.0,4.401171303074671,0.12210478974589611,0.06738868832731648,0.8103015075376885,5.1242857142857146,13.76844262295082,29.32412523020258,,N/A_ZERO_CERTIFIED_DENOMINATOR,0.953662182361734,0.06547619047619048,0.9345238095238095,,UNKNOWN_WRAPPER_TRACE,0.0,0.0,0.0,0.0,0.0,0.0,22.134224866245404,39.2193,0,0,Safe but inert; all 45419 callbacks deferred to v1 and the frozen mechanism and efficacy gates failed
