candidate_archetype,exact_deck_hash,scenario,assumed_uncertain_result,major_meta_weight_total,adequately_observed_weight,low_sample_weight,unobserved_weight,uncertain_weight,adequate_observed_contribution,observed_all_weight,observed_all_contribution,scenario_result,scenario_is_assumption,adequate_major_matchups,low_sample_major_matchups,unobserved_major_matchups,meta_weight_basis,interpretation
kangaskhan_crustle,47e017159a02045d19c8bf9e95b2d1084bfd9d8640292885b2f506fdd1cd3e05,UNOBSERVED_ONLY_AS_0_50,0.50000000,1.00000000,0.00000000,0.22448980,0.77551020,1.00000000,0.00000000,0.22448980,0.00000000,0.38775510,True,,rocket_mewtwo_spidops|kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,47e017159a02045d19c8bf9e95b2d1084bfd9d8640292885b2f506fdd1cd3e05,UNCERTAIN_AS_0,0.00000000,1.00000000,0.00000000,0.22448980,0.77551020,1.00000000,0.00000000,0.22448980,0.00000000,0.00000000,True,,rocket_mewtwo_spidops|kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,47e017159a02045d19c8bf9e95b2d1084bfd9d8640292885b2f506fdd1cd3e05,UNCERTAIN_AS_0_25,0.25000000,1.00000000,0.00000000,0.22448980,0.77551020,1.00000000,0.00000000,0.22448980,0.00000000,0.25000000,True,,rocket_mewtwo_spidops|kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,47e017159a02045d19c8bf9e95b2d1084bfd9d8640292885b2f506fdd1cd3e05,UNCERTAIN_AS_0_50,0.50000000,1.00000000,0.00000000,0.22448980,0.77551020,1.00000000,0.00000000,0.22448980,0.00000000,0.50000000,True,,rocket_mewtwo_spidops|kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,47e017159a02045d19c8bf9e95b2d1084bfd9d8640292885b2f506fdd1cd3e05,UNCERTAIN_AS_1,1.00000000,1.00000000,0.00000000,0.22448980,0.77551020,1.00000000,0.00000000,0.22448980,0.00000000,1.00000000,True,,rocket_mewtwo_spidops|kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,47e017159a02045d19c8bf9e95b2d1084bfd9d8640292885b2f506fdd1cd3e05,OBSERVED_WORST_FILL,,1.00000000,0.00000000,0.22448980,0.77551020,1.00000000,0.00000000,0.22448980,0.00000000,,True,,rocket_mewtwo_spidops|kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,47e017159a02045d19c8bf9e95b2d1084bfd9d8640292885b2f506fdd1cd3e05,OBSERVED_ONLY_RENORMALIZED_LEGACY,,1.00000000,0.00000000,0.22448980,0.77551020,1.00000000,0.00000000,0.22448980,0.00000000,0.00000000,False,,rocket_mewtwo_spidops|kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_CELLS_ONLY_RENORMALIZED_NOT_FULL_META_ESTIMATE
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,UNOBSERVED_ONLY_AS_0,0.00000000,1.00000000,0.00000000,0.08163265,0.91836735,1.00000000,0.00000000,0.08163265,0.08163265,0.08163265,True,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,UNOBSERVED_ONLY_AS_0_25,0.25000000,1.00000000,0.00000000,0.08163265,0.91836735,1.00000000,0.00000000,0.08163265,0.08163265,0.31122449,True,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,UNOBSERVED_ONLY_AS_0_50,0.50000000,1.00000000,0.00000000,0.08163265,0.91836735,1.00000000,0.00000000,0.08163265,0.08163265,0.54081633,True,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,UNCERTAIN_AS_0,0.00000000,1.00000000,0.00000000,0.08163265,0.91836735,1.00000000,0.00000000,0.08163265,0.08163265,0.00000000,True,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,UNCERTAIN_AS_0_25,0.25000000,1.00000000,0.00000000,0.08163265,0.91836735,1.00000000,0.00000000,0.08163265,0.08163265,0.25000000,True,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,UNCERTAIN_AS_0_50,0.50000000,1.00000000,0.00000000,0.08163265,0.91836735,1.00000000,0.00000000,0.08163265,0.08163265,0.50000000,True,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,UNCERTAIN_AS_1,1.00000000,1.00000000,0.00000000,0.08163265,0.91836735,1.00000000,0.00000000,0.08163265,0.08163265,1.00000000,True,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,OBSERVED_WORST_FILL,,1.00000000,0.00000000,0.08163265,0.91836735,1.00000000,0.00000000,0.08163265,0.08163265,,True,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,76b7f090c528b45acb91b4a60d6787d8004321f87a812aa92013a3224b0b5719,OBSERVED_ONLY_RENORMALIZED_LEGACY,,1.00000000,0.00000000,0.08163265,0.91836735,1.00000000,0.00000000,0.08163265,0.08163265,1.00000000,False,,kangaskhan_crustle,marnie_grimmsnarl|alakazam_psychic|cynthia_garchomp|rocket_mewtwo_spidops,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,OBSERVED_CELLS_ONLY_RENORMALIZED_NOT_FULL_META_ESTIMATE
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,UNOBSERVED_ONLY_AS_0,0.00000000,1.00000000,0.00000000,0.14285714,0.85714286,1.00000000,0.00000000,0.14285714,0.00000000,0.00000000,True,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,UNOBSERVED_ONLY_AS_0_25,0.25000000,1.00000000,0.00000000,0.14285714,0.85714286,1.00000000,0.00000000,0.14285714,0.00000000,0.21428571,True,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,UNOBSERVED_ONLY_AS_0_50,0.50000000,1.00000000,0.00000000,0.14285714,0.85714286,1.00000000,0.00000000,0.14285714,0.00000000,0.42857143,True,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,UNCERTAIN_AS_0,0.00000000,1.00000000,0.00000000,0.14285714,0.85714286,1.00000000,0.00000000,0.14285714,0.00000000,0.00000000,True,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
kangaskhan_crustle,97934924dd727dbc7acadc1f029b4ebffab8b06a2a47ab48a9193a1805c4c574,UNCERTAIN_AS_0_25,0.25000000,1.00000000,0.00000000,0.14285714,0.85714286,1.00000000,0.00000000,0.14285714,0.00000000,0.25000000,True,,cynthia_garchomp,marnie_grimmsnarl|alakazam_psychic|rocket_mewtwo_spidops|kangaskhan_crustle,UNIQUE_TEAM_DAY_SHARE_WITHIN_MAJOR_MATCHUPS,ASSUMPTION_NOT_POINT_ESTIMATE
